Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
CO_321:0001217,GY_Calc_gm2,"Yld_gm2, GY_gm2, GRNYLD_g_m2",Grain yield,GY,"GrnYld, Yld",g/m2,Amount (weight) of grains that was harvested.
CO_321:0001213,GW_M_g1000grn,"TGW, TKW, THOUWT, TGW_g",Grain weight,GW,"GrnWt, GrnW, KW, KrnWt",g/1000 grain,"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains."
CO_321:0001231,HI_Calc_Idx,HI_index,Harvest index,HI,,index,A ratio of grain yield to total above ground biomass.
CO_321:0001034,BM_Calc_gm2,BM_g_m2,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",g/m2,All above-ground biomass at maturity.
CO_321:0001199,GN_Calc_Grnm2,"GNO, grains/m2, GM2, kernel/m2, KNO, GNO_grains_m2",Grain number,GN,"GNO, GrnNo, KrnNo, KN",grain/m2,Number of grains expressed as per unit area or sample.
CO_321:0001599,SN_Calc_Spksm2,,Spike number ,SN,"SNO, SpkNO, SpkNo",spike/m2,"Number of spikes (fertile culms) per unit area, sample or plant."
CO_321:0001200,GrnSpk_Calc_GrnSpk,"GRNSPK, grains/spike, GRNSPK_num",Grain number per spike,GrnSpk,GRNSPK,grain/spike,Number of grains per spike.
CO_321:0001190,GFP_calc_pct,GFILLPERIOD_pct,Grain filling period,GFP,"GFillPeriod, GfillP,",%,Time period between anthesis (ds65) and maturity (ds87).
CO_321:0001301,PH_M_cm,PH_cm,Plant height,PH,"PlntHt, PHt",cm,"Height of plant from ground to top of spike, excluding awns."
CO_321:0001460,StdEst_E_1to3,,Stand establishment,StdEst,,1-3 STDEST scale,Measurement of plant emergence and vigor in the field.
CO_321:0001077,Boot_dtoInit_day,"DTIB_days, DTIB",Booting time,Boot,"Booting, B",day,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike. "
CO_321:0001235,Hd_dto_day,"DTH_days, DTH, HEAD, DAYSHD",Heading time,Hd,"Head, Heading, H",day,Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.
CO_321:0001048,Ant_dto_day,"DTA_days, DAYSAN, ANT",Anthesis time,Ant,"Flowering, Flw, A",day,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.
CO_321:0001290,Mat_dto_day,"DTM_days, DTM, DAYSMT, MAT",Maturity time,Mat,"Mt, M, Maturity",day,Maturity time starts at hard dough stage (ds87) often called physiological maturity.
CO_321:0001603,TTIB_Calc_Cday,,Booting initiation thermal time,TTIB,,°C day,Thermal Time from emergence  to Initiation of Booting (GS41).
CO_321:0001605,TTH_Calc_Cday,,Heading thermal time,TTH,,°C day,Thermal Time  from emergence to Heading (GS55).
CO_321:0001606,TTA_Calc_Cday,,Anthesis thermal time,TTA,,°C day,Thermal Time from emergence  to Anthesis (GS65).
CO_321:0001607,TTM_calc_Cday,,Physiological maturity thermal time,TTM,,°C day,Thermal Time  from emergence to Physiological Maturity (GS87).
CO_321:0001246,ISBM_Calc_gm2,ISBM_g_m2,In-season aboveground biomass,ISBM,,g/m2,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001411,TN_Ct_Tllrm2,TNO_tll_m2,Tiller number,TN,"TllNo, TNO",tiller/m2,"Number of total tillers (fertile and infertile) per unit area, sample or plant."
CO_321:0001596,RSpkGP_Calc_pct,,Rapid spike growth period,RSpkGP,RSGP,%,Rapid spike growth period.
CO_321:0001105,CropGrwRate_Calc_gm2day,CROPGRWRATE_g_m2_day,Crop growth rate,CropGrwRate,CGR,g/m2/day,It is the rate of dry matter production per unit area.
CO_321:0001612,SpkPI_Calc_Idx,,Spike partitioning index ,SpkPI,SPI,index,Spike partitioning index. 
CO_321:0001094,CT_M_C,CT_C,Canopy temperature,CT,"CanoTemp, CanTemp",°C,The surface temperature of the canopy is related to the amount of transpiration resulting in evaporative cooling.
CO_321:0001081,NDVI_M_Idx,NDVI_index,Canopy normalized difference vegetation index,NDVI,,index,Normalized difference vegetation index is used to measure vegetative greenness and canopy photosynthetic size.
CO_321:0001041,AgrScr_E_0to9,AGRSCR_0_9,Agronomic score,AgrScr,AGRSCR,0-9 scoring scale,Rating of overall agronomic attributes and health of plants.
CO_321:0001039,BM_M_kgPlot,BM_kg_plot,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",kg/plot,All above-ground biomass at maturity.
CO_321:0001052,AwnLng_M_cm,AWNLNG _cm,Awn length,AwnLng,,cm,Awn length.
CO_321:0001053,BLBInc_E_0to9pcttext,BLB_0_9text__INC,Bacterial leaf blight incidence,BLBInc, PsyriInc,0-9 percentage scale + text,"Wheat bacterial leaf blight incidence in the plants caused by the agent pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. Initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless."
CO_321:0001040,AcdTol_E_1to5,ACDTOL _1_5,Acid soil tolerance,AcdTol,,1-5 TOL scale,Plant tolerance to acid soil.
CO_321:0001042,AgrScr_E_1to9,AGRSCR_1_9,Agronomic score,AgrScr,,1-9 scoring scale,Rating of overall agronomic attributes and health of plants.
CO_321:0001054,BLBSev_E_00to99,BLB_00_99__SEV,Bacterial leaf blight severity,BLBSev, PsyriSev,Double digit (00-99),"Wheat bacterial leaf blight severity in the plants caused by the agent pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless."
CO_321:0001055,BLSSev_E_00to99,BLS_00_99,Bacterial leaf streak severity,BLSSev, PsyriSev,Double digit (00-99),"Bacterial leaf streak severity in the plants caused by the agent Xanthomonas translucens. The disease, called black chaff when on the glumes."
CO_321:0001056,HgramInc_E_0to9pcttext,HGRAM_0_9text,Barley Helminthosporium leaf stripe incidence,HgramInc,,0-9 percentage scale + text,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).
CO_321:0001057,HgramInc_E_pct,HGRAM_pct,Barley Helminthosporium leaf stripe incidence,HgramInc,,%,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).
CO_321:0001058,HgramInc_E_0to9pct,HGRAM_0_9,Barley Helminthosporium leaf stripe incidence,HgramInc,,0-9 percentage scale,Barley helminthosporium leaf stripe incidence in the plants caused by the agent Drechslera graminea (helminthosporium gramineum).
CO_321:0001059,PhordCI_Calc_pct,PHORD_pct__CI,Barley leaf rust coefficient of infection,PhordCI,,%,Barley leaf rust incidence/severity/response in the plants caused by the agent Puccinia hordei. 
CO_321:0001060,PhordInc_E_1to9,PHORD_1_9,Barley leaf rust incidence,PhordInc,,1-9 incidence scale,Barley leaf rust incidence in the plants caused by the agent Puccinia hordei. 
CO_321:0001061,PhordSev_E_pct,PHORD_pct__SEV,Barley leaf rust severity,PhordSev,,%,Barley leaf rust severity in the plants caused by the agent Puccinia hordei. 
CO_321:0001062,PhordSev_E_0to12,PHORD_0_12__SEV,Barley leaf rust severity,PhordSev,,0-12 Modified Cobb Scale,Barley leaf rust severity in the plants caused by the agent Puccinia hordei. 
CO_321:0001063,RsecaInc_E_0to9pcttext,RSECA_0_9text,Barley scald incidence,RsecaInc,RSECA,0-9 percentage scale + text,Barley scald incidence in the plants caused by the agent Rhynchosporium secalis. 
CO_321:0001064,RSecaSev_E_00to99text,RSECA_00_99text__SEV,Barley scald severity,RSecaSev,RSECA,Double digit (00-99) + text,Barley scald severity in the plants caused by the agent Rhynchosporium secalis. 
CO_321:0001065,RsecaSev_E_00to99,RSECA_00_99__SEV,Barley scald severity,RsecaSev,RSECA,Double digit (00-99),Barley scald severity in the plants caused by the agent Rhynchosporium secalis. 
CO_321:0001051,ArmyWDmg_E_pct,ARMDMG_pct,Armyworm damage,ArmyWDmg,ARMDMG,%,The plant damage caused by armyworm.
CO_321:0001047,Ant_date_ymd,"ANTD_yyyymmdd, ANTD, ANTDATE",Anthesis time,Ant,"Flowering, Flw, A",yyyymmdd,Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.
CO_321:0001046,AntDmg_E_pct,ANTDMG_pct,Ant damage,AntDmg,,%,The plant damage caused by ants.
CO_321:0001044,AtritResp_E_1to8,ATRIT _1_8__RESP,Alternaria leaf blight plant response,AtritResp,,1-8 generic disease field response scale,Alternaria leaf blight response in the plants caused by the agent Alternaria triticina.
CO_321:0001043,AgrScr_E_1to5,AGRSCR_1_5,Agronomic score,AgrScr,,1-5 scoring scale,Rating of overall agronomic attributes and health of plants.
CO_321:0001035,BM_Calc_kgha,BM_kg_ha,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",kg/ha,All above-ground biomass at maturity.
CO_321:0001036,BM_Calc_tha,BM_t_ha,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",t/ha,All above-ground biomass at maturity.
CO_321:0001037,BM_M_gPlnt,BM_g_pl,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",g/plant,All above-ground biomass at maturity.
CO_321:0001038,BM_M_gPlot,BM_g_plot,Aboveground biomass at maturity,BM,"AGBM, BMMat, BIOMAS",g/plot,All above-ground biomass at maturity.
CO_321:0001045,AlTol_E_1to9,ALUTOL_1_9,Aluminum tolerance,AlTol,ALUTOL,1-9 TOL scale,Plant tolerance to aluminum.
CO_321:0001049,AphDmg_E_pct,APHDMG_pct,Aphid damage,AphDmg,,%,The plant damage caused by various species of aphids.
CO_321:0001050,AphDmg_E_1to5,APHDMG_1_5,Aphid damage,AphDmg,,1-5 DMG scale,The plant damage caused by various species of aphids.
CO_321:0001066,BSMV_E_0to9pct,BSMV_0_9,Barley stripe mosaic incidence,BSMV,,0-9 percentage scale,Barley stripe mosaic incidence in the plants caused by barley stripe mosaic virus.
CO_321:0001067,BYDInc_E_0to9pcttext,BYD_0_9text,Barley yellow dwarf incidence,BYDInc,BYDV,0-9 percentage scale + text,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.
CO_321:0001068,BYDInc_E_pct,BYD_pct,Barley yellow dwarf incidence,BYDInc,BYDV,%,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.
CO_321:0001069,BYDInc_E_0to9pct,BYD_0_9,Barley yellow dwarf incidence,BYDInc,BYDV,0-9 percentage scale,Wheat yellow dwarf incidence in the plants caused by the agent wheat yellow dwarf virus.
CO_321:0001070,BirdDmg_E_pct,BIRDDMG_pct,Bird damage,BirdDmg,"DmgBird, BIRDDMG, DMGBIR",%,The plant damage caused by birds.
CO_321:0001071,BirdDmg_E_1to5,"BIRDDMG_1_5, BirdDmg_N_T_S_M_V",Bird damage,BirdDmg,"DmgBird, BIRDDMG, DMGBIR",1-5 DMG scale,The plant damage caused by birds.
CO_321:0001072,BlkPtInc_E_pct,BLKPT_pct,Black point incidence,BlkPtInc,,%,"Black point incidence in the plants caused by the fungal species such as Helminthosporium sativum (Cochliobolus sativus), Alternaria alternata and fusarium spp. also black point symptoms are associated to physiological disorders."
CO_321:0001073,BlkPtInc_E_0to9pct,BLKPT_0_9,Black point incidence,BlkPtInc,,0-9 percentage scale,"Black point incidence in the plants caused by the fungal species such as Helminthosporium sativum (Cochliobolus sativus), Alternaria alternata and fusarium spp. also black point symptoms are associated to physiological disorders."
CO_321:0001074,Boot_date_ymd,"BOOTD_yyyymmdd, BOOTD, BOOTDATE",Booting time,Boot,"Booting, B",yyyymmdd,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike. "
CO_321:0001075,Boot_dateInit_ymd,"IBD_yyyymmdd, IBD",Booting time,Boot,"Booting, B",yyyymmdd,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike. "
CO_321:0001076,Boot_dto_day,"DTB_days, DTB, BOOT",Booting time,Boot,"Booting, B",day,"Booting time is just prior to spike emergence, when the flag leaf sheath encloses the growing spike. "
CO_321:0001078,BTol_E_1to9,BORONTOL_1_9,Boron tolerance,BTol,BORONTOL,1-9 TOL scale,Plant tolerance to high levels of soil boron.
CO_321:0001079,CrmStr_E_1to5,CRMSTR_1_5,Bread crumb structure,CrmStr,,1-5 scoring scale,The cellular structure of wheat bread crumb.
CO_321:0001080,LofVol_M_ml,LOFVOL_ml,Bread loaf volume,LofVol,,ml,Baking quality of flour describing bread loaf volume.
CO_321:0001082,NPQI_M_Idx,NPQI_index,Canopy normalized pheophytinization index,NPQI,,index,Normalized pheophytinization index can be used to detect chlorophyll degradation.
CO_321:0001083,NWI1_M_Idx,NWI1_index,Canopy normalized water index 1,NWI1,,index,"Normalized water index 1 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85)."
CO_321:0001084,NWI2_M_Idx,NWI2_index,Canopy normalized water index 2,NWI2,,index,"Normalized water index 2 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85)."
CO_321:0001085,NWI3_M_Idx,NWI3_index,Canopy normalized water index 3,NWI3,,index,"Normalized water index 3 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85)."
CO_321:0001086,NWI4_M_Idx,NWI4_index,Canopy normalized water index 4,NWI4,,index,"Normalized water index 4 is used track changes in rwc, leaf water potential, stomatal conductance, and foliage minus air temperature differences when plant water stress is well developed (rwc<0.85)."
CO_321:0001087,PRI_M_Idx,PRI_index,Canopy photochemical reflectance index,PRI,,index,"Photochemical reflectance index is correlated with the de-epoxidation stage of the xanthophylls cycle, with zeaxanthin, and with radiation-use efficiency (filella et al., 1996). higher pri values indicate greater efficiency."
CO_321:0001088,RARSc_M_Idx,RARSc_index,Canopy ratio analysis of reflectance spectra  carotenoid,RARSc,,index,Rarsc is an estimation of carotenoid content.
CO_321:0001089,RARSa_M_Idx,RARSa_index,Canopy ratio analysis of reflectance spectra chlorophyll  a,RARSa,,index,Rarsa is an estimation of chlorophyll a content.
CO_321:0001090,RARSb_M_Idx,RARSb_index,Canopy ratio analysis of reflectance spectra chlorophyll  b,RARSb,,index,Rarsb is an estimation of chlorophyll b content.
CO_321:0001091,SR_M_Idx,SR_index,Canopy simple ratio,SR,,index,"A vegetation index related with canopy structure, light absorption and photosynthetic capacity."
CO_321:0001092,StayGreen_E_1to5,STAYGREEN_1_5,Canopy stay green,StayGreen,STAGRE,1-5 scoring scale,"Ability of the plant to remain/maintain green leaves, stems and spikes at the time of senescing."
CO_321:0001093,SIPI_M_Idx,SIPI_index,Canopy structural independent pigment index,SIPI,,index,"Structural independent pigment index uses wavelengths showing the best semi-empirical estimation of the carotenoid chlorophyll a ratio (car:chla ratio), and its formulation minimizes the disrupting effects of leaf surface and mesophyll structure."
