Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
,,,Amax_M_umolCO2m2s2,M_UO,,,Spike Photosynthesis
,,,Asat_M_umolCO2m2s1,M_UO,,,Spike Photosynthesis
,,,Ci_M_umolCO2mol1,M_UmoC,,,Spike Photosynthesis
,,,CiCa_M_Idx,M_IX,,,Spike Photosynthesis
,,,ETR_M_μmolm2s1,M_ΜmL,,,Spike Photosynthesis
,,,FmDA_M_Idx,M_IX,,,Spike Photosynthesis
,,,FmLA_M_Idx,M_IX,,,Spike Photosynthesis
,,,FvDAFmDA_M_Idx,FvdafmdaM,,,Spike Photosynthesis
,,,SPC GSP,,,,Spike Photosynthesis
,,,CRI2,,,,ASD
,,,EVI,,,,ASD
,,,J/Narea,,,,Wheat Physiology Predictor
,,,J/SPAD,,,,Wheat Physiology Predictor
,,,J/SPAD_Calc,Spad_CL,,,Wheat Physiology Predictor
,,,NDII,,,,ASD
,,,NDMI,,,,ASD
,,,NDWI,,,,ASD
,,,SPC GWSP,,,,Spike Photosynthesis
,,, J,,,,Wheat Physiology Predictor
,,, LMA_O,,,,Wheat Physiology Predictor
,,, N_AreaO,,,,Wheat Physiology Predictor
,,, Nmass_O,,,,Wheat Physiology Predictor
,,, R_DM,,,,Wheat Physiology Predictor
,,, R_FM,,,,Wheat Physiology Predictor
,,, R_LA,,,,Wheat Physiology Predictor
,,, SPAD_Calc,,,,Wheat Physiology Predictor
,,, Vcmax,,,,Wheat Physiology Predictor
,,, Vcmax25,,,,Wheat Physiology Predictor
,,,ARI1,,,,ASD
,,,ARI2,,,,ASD
,,,CRI1,,,,ASD
,,,NDWI_Hyp,,,,ASD
,,,NDWI2,,,,ASD
,,,NHI,,,,ASD
,,,PSRI,,,,ASD
,,,PWI,,,,ASD
,,,RARSa*2 ,,,,ASD
,,,Vcmax/Narea,NaE,,,Wheat Physiology Predictor
,,,Vcmax/SPAD,SpD,,,Wheat Physiology Predictor
,,,Spike water soluble carbohydrate_NIRS_area,WSC,,%,Water Soluble Carbohydrate in the spike at 7DAA using NIRS in g per unit area
,,,Spike water soluble carbohydrate_NIRS_pct,WSC,,%,Water Soluble Carbohydrate in the spike at 7DAA using NIRS in percentage per g of DW
,,,Spike water soluble carbohydrate_Antrone_area,WSC,,%,Water Soluble Carbohydrate in the spike at 7DAA using antrone in g per unit area
,,,Spike water soluble carbohydrate_Antrone_pct,WSC,,%,Water Soluble Carbohydrate in the spike at 7DAA using antrone in percentage per g of DW
,,,Stem water soluble carbohydrate_Antrone_area,WSC,,%,Water Soluble Carbohydrate in the true stem at 7DAA using antrone in g per unit area
,,,Stem water soluble carbohydrate_Antrone_pct,WSC,,%,Water Soluble Carbohydrate in the true stem at 7DAA using antrone in percentage per g of DW
,,,Stem water soluble carbohydrate_NIRS_area,WSC,,%,Water Soluble Carbohydrate in the true stem at 7DAA using NIRS in g per unit area
,,,Stem water soluble carbohydrate_NIRS_pct,WSC,,%,Water Soluble Carbohydrate in the true stem at 7DAA using NIRS in percentage per g of DW
,,,Vcmax/SPAD_Calc,SpD,,,Wheat Physiology Predictor
,,,Vcmax25/Narea,A,,,Wheat Physiology Predictor
,,,Vcmax25/SPAD,P,,,Wheat Physiology Predictor
,,,Vcmax25/SPAD_Calc,P,,,Wheat Physiology Predictor
,,,WI_1,,,,ASD
,,,WI_2,,,,ASD
,,,WI_3,,,,ASD
,,,WI_4,,,,ASD
,,,,,,,
